date,storage,inflow_af,outflow_af,unaccounted_af
1/1/2000,1666419,1176,13,
1/2/2000,1667342,1156,12,-240
1/3/2000,1668573,1232,12,87
1/4/2000,1669497,1240,12,-296
1/5/2000,1670730,1236,12,5
1/6/2000,1672271,1196,11,317
1/7/2000,1673506,1287,11,50
1/8/2000,1674740,1265,11,-42
1/9/2000,1675976,1085,10,-19
1/10/2000,1676594,1035,10,-457
1/11/2000,1677831,1180,10,212
1/12/2000,1679687,1162,10,686
1/13/2000,1681545,1129,10,706
1/14/2000,1683095,1129,10,432
1/15/2000,1683715,1144,10,-498
1/16/2000,1685577,1119,10,728
1/17/2000,1686198,1039,10,-488
1/18/2000,1687750,1129,10,523
1/19/2000,1688994,1230,12,125
1/20/2000,1690860,1206,809,648
1/21/2000,1690860,1162,1258,-397
1/22/2000,1690860,1208,1258,95
1/23/2000,1691483,1301,1258,673
1/24/2000,1691483,1303,1275,-44
1/25/2000,1692106,1428,1295,595
1/26/2000,1692728,1472,1327,489
1/27/2000,1692106,1638,1246,-767
1/28/2000,1692728,1601,1156,229
1/29/2000,1693351,1783,1154,179
1/30/2000,1693351,1811,1156,-629
1/31/2000,1694598,1734,1164,592
2/1/2000,1695534,1553,4185,367
2/2/2000,1692106,1634,5455,-796
2/3/2000,1688372,1478,5375,86
2/4/2000,1684956,1234,5613,482
2/5/2000,1681235,1256,4165,659
2/6/2000,1677831,1236,4126,-494
2/7/2000,1674432,1236,5395,-509
2/8/2000,1671038,1267,4681,765
2/9/2000,1667650,1293,4106,26
2/10/2000,1664882,1226,4086,45
2/11/2000,1662425,1609,3947,403
2/12/2000,1661198,1734,3372,1112
2/13/2000,1659970,1845,3312,410
2/14/2000,1658745,1502,2955,243
2/15/2000,1657519,1400,3352,228
2/16/2000,1656295,1442,3332,728
2/17/2000,1654153,1400,3312,-252
2/18/2000,1652320,1636,3312,79
2/19/2000,1650793,1628,3273,149
2/20/2000,1648963,1515,3312,-186
2/21/2000,1647134,1503,3293,-32
2/22/2000,1645307,1478,3293,-38
2/23/2000,1643481,1492,1156,-11
2/24/2000,1644698,1406,1226,882
2/25/2000,1644090,1559,3233,-788
2/26/2000,1641656,1599,3213,-760
2/27/2000,1640442,1634,3233,401
2/28/2000,1638620,1702,3253,-223
2/29/2000,1636800,1785,3253,-269
3/1/2000,1634375,1585,3233,-957
3/2/2000,1633164,1150,3233,437
3/3/2000,1631349,738,3213,268
3/4/2000,1629534,1091,3213,660
3/5/2000,1627118,893,3233,-294
3/6/2000,1625308,760,3253,531
3/7/2000,1622294,686,3233,-521
3/8/2000,1619885,601,3253,138
3/9/2000,1618682,752,3253,1449
3/10/2000,1617479,651,3253,1298
3/11/2000,1614476,468,3233,-401
3/12/2000,1612677,611,3233,966
3/13/2000,1610280,393,3233,225
3/14/2000,1608483,319,3253,1043
3/15/2000,1606091,234,3273,542
3/16/2000,1603104,202,3293,52
3/17/2000,1601314,133,3293,1300
3/18/2000,1598334,95,3015,180
3/19/2000,1594763,65,3293,-651
3/20/2000,1591198,182,3312,-338
3/21/2000,1589419,559,3293,1351
3/22/2000,1590012,1664,3174,3326
3/23/2000,1591792,2321,3312,3289
3/24/2000,1591792,2539,3273,992
3/25/2000,1591198,2717,3293,140
3/26/2000,1590605,2182,3332,-18
3/27/2000,1590605,1587,3273,1150
3/28/2000,1590012,1428,3253,1093
3/29/2000,1588233,1091,3253,46
3/30/2000,1585863,950,3273,-208
3/31/2000,1583496,970,3332,-44
4/1/2000,1581132,922,3233,-2
4/2/2000,1579360,916,3253,539
4/3/2000,1579360,2916,3253,2337
4/4/2000,1579951,1632,3273,928
4/5/2000,1578770,1016,3253,459
4/6/2000,1577001,748,3293,468
4/7/2000,1574644,553,3273,188
4/8/2000,1572289,381,3233,364
4/9/2000,1569350,351,3233,-87
4/10/2000,1567589,371,3213,1121
4/11/2000,1565829,325,3193,1082
4/12/2000,1562899,478,3193,-62
4/13/2000,1560557,333,3154,373
4/14/2000,1557635,220,2936,-101
4/15/2000,1555299,254,2817,379
4/16/2000,1552967,274,2856,231
4/17/2000,1550637,226,2896,253
4/18/2000,1548310,270,2936,343
4/19/2000,1546566,361,2936,922
4/20/2000,1544824,397,2975,833
4/21/2000,1541344,421,2995,-901
4/22/2000,1539028,355,2995,259
4/23/2000,1537870,464,3015,1482
4/24/2000,1536713,470,2995,1394
4/25/2000,1534979,662,3015,791
4/26/2000,1533247,464,3015,620
4/27/2000,1531516,300,3015,820
4/28/2000,1528635,230,2460,-166
4/29/2000,1528059,184,1454,1653
4/30/2000,1527484,182,1444,694
5/1/2000,1525183,186,1420,-1039
5/2/2000,1525183,192,972,1234
5/3/2000,1524895,161,1434,492
5/4/2000,1524033,151,1404,411
5/5/2000,1522884,157,1406,105
5/6/2000,1521736,192,1426,102
5/7/2000,1520014,151,1438,-488
5/8/2000,1518867,127,1428,140
5/9/2000,1518294,180,1434,728
5/10/2000,1517148,266,1434,108
5/11/2000,1514858,292,1438,-1122
5/12/2000,1515716,133,1436,2004
5/13/2000,1513714,115,1432,-699
5/14/2000,1511998,266,1430,-399
5/15/2000,1511427,288,1428,593
5/16/2000,1509143,341,1420,-1143
5/17/2000,1508002,393,1404,-62
5/18/2000,1507432,419,1410,442
5/19/2000,1506291,397,2638,-149
5/20/2000,1504013,315,3253,-37
5/21/2000,1502874,300,3213,1799
5/22/2000,1500031,298,3174,71
5/23/2000,1498895,262,3154,1740
5/24/2000,1496624,240,3114,621
5/25/2000,1492656,143,3114,-1094
5/26/2000,1489827,133,3114,142
5/27/2000,1488131,192,3094,1285
5/28/2000,1486436,149,3094,1207
5/29/2000,1484179,200,3074,688
5/30/2000,1481924,147,3074,619
5/31/2000,1479109,177,3074,113
6/1/2000,1478546,121,3055,2335
6/2/2000,1472929,115,3035,-2683
6/3/2000,1469005,210,3035,-1004
6/4/2000,1467886,127,3035,1706
6/5/2000,1463971,141,3015,-1007
6/6/2000,1461738,597,3907,641
6/7/2000,1458391,589,4324,-37
6/8/2000,1453382,399,4146,-1274
6/9/2000,1449493,305,4165,-142
6/10/2000,1446166,301,2936,533
6/11/2000,1443951,298,2936,419
6/12/2000,1441185,276,3749,-128
6/13/2000,1437318,385,3967,-394
6/14/2000,1434561,452,4225,825
6/15/2000,1432358,436,4126,1570
6/16/2000,1426859,369,3927,-1810
6/17/2000,1424115,335,2797,814
6/18/2000,1421649,282,2916,-4
6/19/2000,1419185,260,2936,170
